Disease,Risk Factors,Symptoms,Signs,Subtypes
Gastritis,"['Helicobacter pylori infection', 'long-term use of non-steroidal anti-inflammatory drugs (NSAIDs)', 'excessive alcohol consumption', 'smoking', 'excessive stress', 'autoimmune conditions', 'other diseases such as HIV/AIDS', 'etc.']","['upper abdominal pain or burning sensation', 'nausea and vomiting', 'bloating and burping', 'loss of appetite', 'black or tarry stools', 'vomiting blood', 'etc.']",[],"{'Chronic Non-atrophic Gastritis': 'Gastroscopy: erythema (dot, sheet, strip), rough mucosa, bleeding spots/spots; \nPathological biopsy:  Inflammation of the gastric mucosa without significant glandular damage or reduction; infiltration of lymphocytes and plasma cells in the mucosal layer, but the gastric gland structure remains intact; often associated with Helicobacter pylori infection', 'Chronic Atrophic Gastritis': 'Gastroscopy: Atrophic mucosa typically has a pale appearance, with increased visibility of submucosal blood vessels due to thinning of the gastric mucosa and loss of gastric folds;\nPathological biopsy: atrophy of gastric glands (reduction or shrinking of glandular structures), often accompanied by intestinal metaplasia or other morphological changes; reduction in the number of gastric glands, thinning of the gastric wall;', 'Acute Gastritis': 'Lesions of gastric antrum erosion and hemorrhage on endoscopy;Specific irritants or injuries, such as excessive alcohol consumption, severe stress, ingestion of certain medications, food poisoning, or certain bacterial and viral infections, multiple organ failure; Usually appear suddenly and may include severe upper abdominal pain, nausea, vomiting, haematemesis, black stools, diarrhea, and loss of appetite. Gastroscopy: Lesions of erosion and hemorrhage', 'Chronic Gastritis': 'Symptoms may be mild or develop gradually; long-term Helicobacter pylori infection; long-term use of non-steroidal anti-inflammatory drugs (NSAIDs); autoimmune diseases; long-term alcohol abuse.'}"
Gastro-oesophageal Reflux Disease,"['obesity', 'dietary habits such as eating fatty or spicy foods, chocolate, and coffee', 'smoking', 'excessive alcohol consumption', 'pregnancy', 'certain medications such as calcium channel blockers, sedatives, and antidepressants', 'aging', 'delayed gastric emptying', 'body posture, like bending over or lying down right after eating', 'esophageal disorders such as esophageal stricture or motility disorders.', 'etc.']","['Typical: heartburn, oesophageal chest pain and regurgitation.atypical symptoms: belching, chronic cough, wheezing hoarseness, globus, nausea, abdominal pain and other dyspeptic symptoms', 'etc.']",[],"{'Gastro-oesophageal Reflux Disease': 'conclusive evidence for gastro- esophageal reflux disease(off therapy): \nEndoscopy (endoscopy should be performed 2–4 weeks after discontinuation of antisecretory therapy ): LA grades B, C and D oesophagitis, biopsy proven Barrett’s oesophagus and peptic stricture are conclusive for a diagnosis of GERD.\nAmbulatory reflux monitor (pH or pH-impendance):AET>6% on at least 2 days of wireless pH monitoring or total AET>6% on pH-impedance monitoring  (Total reflux episodes >80/day and baseline impedance of <1500 ohms  are adjunctive evidence).\nEsophageal Manometry\n  Lower Esophageal Sphincter (LES) Resting Pressure: Normal values: 10-45 mmHg\n  Lower Esophageal Sphincter Relaxation Pressure: During swallowing, the LES should relax completely, approaching the intrathoracic pressure.\n  Esophageal Body Peristaltic Wave Amplitude: Normal values: 30-180 mmHg\n  Esophageal Peristaltic Wave Propagation Speed: Normal values: 2-4 cm/s\n  Complete Peristaltic Waves: Normally, more than 70% of swallowing actions should induce effective peristaltic waves.'}"
Heart Failure,"['CAD', 'Hypertension', 'Valve disease', 'Arrhythmias', 'CMPs', 'Congenital heart disease, Infective', 'Drug-induced', 'Infiltrative', 'Storage disorders', 'Endomyocardial disease', 'Pericardial disease', 'Metabolic', 'Neuromuscular disease', 'etc.']","['Breathlessness', 'Orthopnoea', 'Paroxysmal nocturnal dyspnoea', 'Reduced exercise tolerance', 'Fatigue', 'tiredness', 'increased time to recover after exercise', 'Ankle swelling', 'Nocturnal cough', 'Wheezing', 'Bloated feeling', 'Loss of appetite', 'Confusion (especially in the elderly)', 'Depression', 'Palpitation', 'Dizziness', 'Syncope.', 'etc.']","['Elevated jugular venous pressure', 'Hepatojugular reflux', 'Third heart sound (gallop rhythm)', 'Laterally displaced apical impulse', 'Weight gain (>2 kg/week)', 'Weight loss (in advanced HF)', 'Tissue wasting (cachexia)', 'Cardiac murmur', 'Peripheral edema (ankle, sacral, scrotal)', 'Pulmonary crepitations', 'Pleural effusion', 'Tachycardia', 'Irregular pulse', 'Tachypnoea', 'Cheyne-Stokes respiration', 'Hepatomegaly', 'Ascites', 'Cold extremities', 'Oliguria', 'Narrow pulse pressure.']","{'HFrEF': 'LVEF≤40%', 'HFmrEF': 'LVEF41–49%', 'HFpEF': 'LVEF≥50%', 'Strongly Suspected Heart Failure': 'NT-proBNP ≥ 125 pg/mLor BNP ≥ 35 pg/mL', 'Heart Failure': 'Abnormal findings from echocardiography：LV mass index≥95 g/m2 (Female), ≥ 115 g/m2 (Male); Relative wall thickness >0.42, LA volume index>34 mL/m2, E/e’ ratio at rest >9, PA systolic pressure >35 mmHg; TR velocity at rest >2.8 m/s, etc.'}"
Hyperlipidemia,"['Genetics', 'Diet', 'Physical inactivity', 'Weight', 'Smoking', 'Age and gender', 'Alcohol', 'medical conditions: Including diabetes, hypertension, kidney diseases, and some liver diseases, can be linked to hyperlipidemia', 'Certain medications: Including some contraceptives, diuretics, β-blockers, and steroids, can affect blood lipid levels', 'etc.']","['Xanthomas', 'Xanthelasmas', 'Corneal arcus', 'etc.']",[],{'Hyperlipidemia': 'Total Cholesterol\n    Borderline high: 200-239 mg/dL\n    High: 240 mg/dL and above\nLDL Cholesterol (Low-Density Lipoprotein Cholesterol)\n    Borderline high: 130-159 mg/dL\n    High: 160-189 mg/dL\n    Very high: 190 mg/dL and above\nHDL Cholesterol (High-Density Lipoprotein Cholesterol)\n    Low: Less than 40 mg/dL for men and less than 50 mg/dL for women \n    High: 60 mg/dL and above\nTriglycerides\n    Borderline high: 150-199 mg/dL\n    High: 200-499 mg/dL\n    Very high: 500 mg/dL and above'}
Hypertension,"['Age', 'Family history', 'Race', 'Being overweight or obese', 'Unhealthy diet', 'Lack of physical activity', 'Smoking and drinking alcohol', 'Stress', 'Chronic conditions', 'Sleep disorders', 'etc.']","['Headaches', 'Dizziness or light-headedness', 'Blurred vision or other visual disturbances', 'Chest pain', 'Shortness of breath', 'Rapid or irregular heartbeat', 'Tinnitus', 'Nosebleeds', 'etc.']",[],{'Hypertension': 'an elevation of BP (SBP≥140mmHg or DBP≥90mmHg) confirmed by at least two to three visits is the diagnostic criteria of hypertension'}
Migraine,"['Genetic predispositions', 'environmental triggers (such as stress, certain foods or drinks', 'hormonal changes', 'changes in sleep patterns', 'etc.']","['headache on one side', 'pulsating pain', 'Moderate to severe pain intensity', 'nausea or vomiting', 'Sensitivity to light', 'sound or smell', 'etc.']",[],"{'Migraine Without Aura': 'Headache attacks often begin suddenly, with no apparent warning period. \nA: At least 5 attacks.\nB: Each attack lasts from 2 to 72 hours.\nC: The attack has two or more of the following characteristics:\n     Unilateral pain\n     pain of pulsating nature\n     Moderate or severe pain intensity\n     Physical activity (such as walking up and down stairs) can worsen pain\nD: accompanied by at least one of the following symptoms during the attack:\n     Nausea and/or vomiting\n     Sensitivity to light, sound, or smells (photophobia, soundphobia, or odorphobia', 'Migraine With Aura': 'Headache attacks are preceded by a specific set of symptoms of neurological dysfunction. The aura usually lasts from 5 to 60 minutes and is immediately followed or overlapped by a headache attack. These include visual abnormalities (such as flashes of light, loss of visual field), sensory abnormalities (such as tingling or numbness in the hands and feet), and speech or language impairment. In rare cases, aura may include movement disorders.'}"
Multiple Sclerosis,"['Gender and age: MS is more common in women than men, with the onset usually occurring between the ages of 15 and 50.', 'Location of the lesion: The signs and symptoms of MS depend on the location of the lesion in the central nervous system.', 'Genetic and environmental factors: Although not specifically mentioned in the literature, it is generally believed that genetic and environmental factors (such as viral infections, smoking, vitamin D deficiency) may play a role in the pathogenesis of MS.', 'etc.']","['Inflammation', 'demyelination', 'and axonal damage. ;Vision loss: usually in one eye and may be painful.', 'Double vision or blurred vision. Lhermitte phenomenon: An electric shock-like sensation when the neck is tilted forward. Motor or sensory impairment: In the central nervous system distribution area.', 'etc.']",[],"{'Relapsing-Remitting Multiple Sclerosis': 'Clinical Presentation: At least two clinical attacks, each with symptoms indicating involvement of different central nervous system (CNS) areas. The condition has distinct attacks (relapses) and remission periods. During an attack, symptoms suddenly worsen, followed by a remission phase in which symptoms partially or completely subside and the condition remains stable without significant progression.\nMRI:Presence of at least two distinct lesions in different CNS locations consistent with demyelination. Utilization of weighted imaging and contrast enhancement to demonstrate the presence and evolution of new and old lesions.\nCerebrospinal Fluid (CSF):Detection of oligoclonal bands (OCB) or elevated IgG index (value above 0.7).', 'Primary Progressive Multiple Sclerosis': 'Clinical Presentation: Disease progression from onset without distinct relapses.\nDisease Duration: Progression for at least 1 year.\nMRI:Presence of at least two T2-weighted lesions in the brain and/or spinal cord.\nCerebrospinal Fluid (CSF):Detection of oligoclonal bands or elevated IgG index (value above 0.7).', 'Secondary Progressive Multiple Sclerosis': 'Clinical Presentation: Initially presents as RRMS, later transitioning to sustained worsening of disease with or without new relapses.\nDisease Duration: Progression to SPMS at least 3 years after RRMS diagnosis.\nMRI:Continued increase in the number of CNS lesions.\nCerebrospinal Fluid (CSF):Confirmation of persistent oligoclonal bands or elevated IgG index.', 'Benign Multiple Sclerosis': 'Clinical Presentation: After 10 years, maintains good function with minimal disability (EDSS score ≤ 3).\nLong-Term Observation: Approximately 55% of patients maintain low disability status over the next 10 years.\nMRI:May show fewer CNS lesions, with slow lesion progression.', 'Multiple Sclerosis': 'MRI: MRI is one of the most important tools for diagnosing MS, showing areas of damage (called lesions or plaques) in the brain and spinal cord. MRI can detect damage to myelin, a key feature of MS.\nCSF Analysis: A sample of cerebrospinal fluid is obtained through a lumbar puncture (spinal tap) and analyzed for the presence of immune system activity, which is common in people with MS. CSF analysis may show abnormal immunoglobulin G (IgG) levels and oligoclonal bands, which are hallmarks of MS.    \nVisual Evoked Potentials, VEPs: In people with MS, visual pathways may have conduction delays due to damage to myelin sheaths'}"
Peptic Ulcer Disease,"['H. pylori Infection', '(Nonsteroidal antiinflammatory drugs) NSAIDs Usage', 'Other  Co-administration of corticosteroids and bisphosphonates with NSAIDs', 'Neoplasms :gastrinoma, gastric adenocarcinoma, carcinoid syndrome', 'Other Factors: smoking, age, chronic medical conditions, genetic factors, stress and psychological factors and diet.', 'etc.']","['exhibit signs is epigastric pain', 'potentially accompanied by dyspepsia', 'Pain after meals, weight loss', 'bloating', 'abdominal fullness or discomfort', 'nausea', 'acid reflux', 'heratburn;belching,anorexia and early satiety.', 'etc.']",[],"{'Gastric Ulcers': 'Upper Endoscopy: Typically located on the lesser curvature of the stomach, especially in the antrum and body of the stomach; May be accompanied by thickening of the stomach wall, and redness or swelling of the mucosa.\n;H. pylori Testing: Urea breath testing, stool antigen testing, rapid urease testing, or histology.', 'Duodenal Ulcers': 'Upper Endoscopy: Most commonly found in the duodenal bulb, the initial part of the duodenum. Duodenal ulcers usually appear round or oval with clearer edges, and the center sometimes shows white scar tissue; Common accompanying features include congestion and swelling of the nearby duodenal mucosa. Less commonly, perforation or bleeding may occur.\nH. ;pylori Testing: Urea breath testing, stool antigen testing, rapid urease testing, or histology.'}"
Pituitary Disease,"['family history', 'Genetic syndromes (MEN1, MEN4, McCune-Albright syndrome', 'Carney complex', 'Familial Isolated Pituitary Adenoma)', 'Age (30s-40s)', 'Ethnic background (Ashkenazi Jewish descent)', 'Sex (women more likely for certain adenomas)', 'etc.']","['Typical: Headaches, Vision problems (blurred vision, double vision, loss of peripheral vision)', 'Unexplained weight changes', 'Fatigue', 'Changes in menstrual cycle or sexual function', 'Increased growth in hands and feet (acromegaly)', 'High blood pressure', 'High or low blood sugar levels', 'Mood changes. Less typical: Facial numbness or pain', 'Dizziness', 'Loss of consciousness', 'Unexplained lactation', 'Feeling cold', 'Erectile dysfunction in men', 'Growth of breast tissue in men', 'Decreased interest in sex', 'etc.']","['Visual field defects', 'Features of hormonal excess (e.g., acromegaly signs, Cushingoid appearance)', 'Pituitary apoplexy symptoms (sudden headache, vomiting, visual changes, possibly coma)', 'etc.']","{'Pituitary Microadenomas': 'Pituitary adenomas that are less than 1 centimeter (10 millimeters) in size are called microadenomas. ; The gold standard diagnosis is through magnetic resonance imaging (MRI), which can accurately show the size and location of adenomas.', 'Pituitary Macroadenomas': 'Pituitary adenomas that are 1 cm or larger in size are called macroadenomas. In addition to MRI, giant adenomas may also cause symptoms through their compression of surrounding structures, such as vision problems, in which case visual field testing is also required.', 'Pituitary Silent Adenomas': 'Nonfunctioning adenomas are pituitary adenomas that do not produce physiologically active levels of hormone, and they do not cause the clinical symptoms associated with hormone excess. Often discovered incidentally during MRI examinations, they are so-called incidentalomas'}"
Pneumonia,"['Exposure to pathogens (e.g., in community, hospitals, or through travel)', 'Smoking and chronic lung diseases (COPD, asthma);OSA', 'Immunosuppressive conditions (HIV/AIDS, use of immunosuppressive drugs)', 'Elderly age', 'Comorbidities (diabetes, heart disease)', 'etc.']","['Typical: Cough (dry or productive of sputum), fever, chills, dyspnea (shortness of breath), Less typical: Chest pain, headache, fatigue, myalgia (muscle pain).', 'etc.']","['Crackles and/or wheezing on lung auscultation', 'tachypnea (increased respiratory rate)', 'fever', 'cyanosis (bluish skin color due to lack of oxygen). ;Hypotension', 'tachycardia (increased heart rate)', 'altered mental status in severe cases.', 'etc.']","{'Bacterial Pneumonia': 'Detection of specific bacteria by PCR or other molecular biology methods. Or suppuration caused by bacteria', 'Viral Pneumonia': 'PCR technology detects the genetic material of a specific virus', 'Pneumonia': 'Radiological examination: Chest X-rays or CT scans are the most commonly used methods and can show areas of inflammation in the lungs. On X-ray or CT images, inflammation appears as localized shadows or infiltrative lesions.\n;Microbiological tests: Identification of the causative pathogen can be confirmed through microbial cultures and PCR tests of body fluids such as sputum, blood, or bronchoalveolar lavage fluid.\n;Complete blood count (CBC): An increased white blood cell count in the CBC is commonly associated with infection but is not a specific indicator.\n;Blood gas analysis: For patients with severe pneumonia, blood gas analysis can help assess oxygenation and acid-base balance.\n;C-reactive protein and other inflammatory markers: Levels of these markers typically rise during infections, but they also lack specificity.'}"
Pulmonary Embolism,"['HTN', 'Previous VTE', 'Immobility or recent surgery', 'Cancer', 'Thrombophilia', 'Hormonal therapy (e.g., oral contraceptives or hormone replacement therapy)', 'Pregnancy and the postpartum period', 'Obesity', 'Smoking', 'Long travel history.', 'etc.']","['Sudden onset of dyspnea', 'Chest pain (sharp and worsened with deep breaths)', 'Hemoptysis', 'Syncope or dizziness', 'Tachypnea', 'Tachycardia', 'etc.']","['Tachypnea (rapid breathing)', 'Tachycardia (rapid heart rate)', 'Hypoxia (low oxygen levels in the blood)', 'Cyanosis (blueish coloration of the skin and lips)', 'Fever', 'Signs of deep vein thrombosis (DVT), such as swelling, redness, or pain in the leg.', 'etc.']","{'Massive PE': 'The patient develops hemodynamic instability, such as sustained hypotension, shock, or cardiac arrest. These patients are high-risk PE and require immediate thrombolytic treatment or surgical intervention.', 'Submassive PE': 'The patient is hemodynamically stable, but there is evidence of RV functional impairment, such as RV enlargement or ventricular septal deviation on echocardiography, and elevated blood biomarkers (such as cardiac troponin). These patients are intermediate-risk PE and require hospitalization and close monitoring to detect potential hemodynamic instability promptly.', 'Low-risk PE': 'The patient has stable hemodynamics, no evidence of RV function impairment, and normal blood biomarker levels. A low Pulmonary Embolism Severity Index (PESI) or simplified PESI (sPESI) score indicates a low risk of death.', 'Pulmonary Embolism': ""Multi-slice spiral CT (CTPA): directly displays thrombus in the pulmonary artery.\nD-dimer test: This is a blood test in which high levels of D-dimer may indicate blood clots, but low levels can be used to rule out pulmonary embolism. Normal values for D-dimer should be lower, using age × 10 μg/L as the threshold\nEchocardiography: Assess right ventricular function and hemodynamics, especially important in high-risk patients. \n    Right ventricular dimensions: An enlarged right ventricle (RV) appears as increased width in cross-sectional long-axis view. Tricuspid annular plane \n    systolic excursion (TAPSE): If TAPSE is less than 16 mm, it indicates reduced RV function. \n    Tricuspid annular peak systolic velocity (S'): If the peak systolic velocity of the tricuspid annulus is less than 9.5 cm/sec, it may indicate RV insufficiency. \n    RV/LV diameter ratio: In the emergency setting, an RV to left ventricular (LV) diameter ratio greater than 1.0 can be used as an indicator of RV dysfunction. \n    RV wall thickness: During acute right ventricular pressure overload, echocardiography may detect increased RV wall thickness or tricuspid regurgitation ejection flow velocity exceeding 3.8 m/s or tricuspid peak systolic pressure gradient exceeding 60 mmHg.\nLower extremity venous ultrasound: Checks for the presence of deep vein thrombosis in the lower extremities, which may dislodge and become a pulmonary embolism.\nV/Q lung scan: compares the ventilation (V) and perfusion (Q) of the lungs to detect abnormal areas, which may indicate the presence of blood clots.""}"
Stroke,"['hypertension', 'diabetes', 'cardiac history', 'smoking', 'hyperlipidemia', 'family history', 'atrial fibrillation', 'sedentary lifestyle', 'obesity', 'alcohol abuse', 'previous stroke or transient ischemic attack (TIA)', 'high cholesterol', 'poor diet', 'age', 'gender', 'race', 'and certain medical conditions like sickle cell disease', 'etc.']","['sudden numbness or weakness in the face', 'arm, or leg, especially on one side of the body', 'confusion', 'trouble speaking or understanding speech', 'visual disturbances in one or both eyes', 'difficulty walking', 'dizziness', 'loss of balance or coordination', 'severe headache with no known cause', 'etc.']","['facial drooping', 'arm weakness', 'speech difficulties', 'vision problems', 'severe headache, dizziness or loss of balance', 'confusion, difficulty walking', 'numbness or paralysis on one side of the body, sudden behavioral change, and loss of consciousness']","{'Ischemic Stroke': 'MRI Scan (especially the DWI sequence):\n    Positive DWI: Indicates ischemic damage to brain tissue at the time of scanning. On DWI, ischemic areas appear as high signal (bright white).\n    ADC Images: Accompanying DWI, this sequence shows low signal (dark areas) representing restricted movement of water molecules, characteristic of early ischemia.\nCT Scan:\n    Early ischemic changes: Within hours of an ischemic stroke, subtle loss of cerebral cortex and narrowing of brain sulci, referred to as ""sulcal effacement"", may be observed.\n    Low-density areas: Low-density areas in the brain parenchyma indicating ischemic tissue.\nCarotid and Intracranial Vessel Imaging:\n    Ultrasound: Carotid intima-media thickness ≥1.0 mm or visible plaque.\n    CTA/MRA: Demonstrating arterial stenosis of ≥50%.', 'Hemorrhagic Stroke': 'Non-contrast CT Scan:\n    High-density areas: Typical manifestation of hemorrhagic stroke on CT is a high-density area representing fresh bleeding. The density usually ranges from 50-80 Hounsfield Units (HU).\n    Hemorrhage volume: The volume and location of the bleed correlate closely with clinical manifestations; larger volumes generally have a poorer prognosis.\nMRI Scan:\n    T1 and T2 Weighted Imaging: Hemorrhage shows different signals on T1 and T2 sequences depending on the age of the bleed. Fresh bleeding may appear isointense or hypointense on T1 and hyperintense on T2.\n    Gradient Echo Sequence (GRE): Especially sensitive to blood breakdown products, such as deoxyhemoglobin and iron, used for detecting microbleeds.\nCerebral Angiography:\n    Detection of vascular abnormalities: Aneurysms, vascular malformations, or stenoses. Diagnosis of an aneurysm typically requires visualization of a typical ""saccular"" dilation.'}"
Thyroid Disease,"['Gender and Age', 'Both iodine deficiency and excess', 'Presence of thyroid autoantibodies', 'Exposure to radiation', 'Family history of thyroid disease', 'Pregnancy itself alters thyroid function', 'Smoking', 'Certain Medications, e.g., Lithium, Amiodarone, Interferons, Rifampin, PTU, MMI, SSRIs']","['Hypothyroidism: Fatigue and sluggishness', 'Increased sensitivity to cold', 'Constipation', 'Dry skin and hair', 'Weight gain', 'Puffy face', 'Hoarseness', 'Muscle weakness', 'Elevated blood cholesterol level', 'Muscle aches, tenderness, and stiffness', 'Pain, stiffness, or swelling in your joints', 'Heavier than normal or irregular menstrual periods', 'Thinning hair', 'Slowed heart rate', 'Depression', 'Impaired memory', 'bradycardia', 'decrease in basal body temperature\n                                                        Hyperthyroidism: Sudden weight loss', 'Rapid heartbeat', 'Irregular heartbeat', 'Pounding of your heart', 'Increased appetite', 'Nervousness, anxiety, and irritability', 'Tremor — usually a fine trembling in your hands and fingers', 'Sweating', 'Changes in menstrual patterns', 'Increased sensitivity to heat', 'Changes in bowel patterns, especially more frequent bowel movements', 'An enlarged thyroid gland', 'Fatigue, muscle weakness', 'Difficulty sleeping', 'Shortness of breath', 'Eye swelling and increased tearing\n                                                        Thyroiditis: Enlargement of the thyroid gland']",[],"{'Hypothyroidism': 'TSH > 4.0-4.5 mIU/L ; Free T4 (FT4) below the normal range (0.9-1.7 ng/dL); FT3<2.0 pg/ml; T3<80 ng/dL; T4<5.0 ng/dL', 'Hyperthyroidism': 'Low  TSH (<0.1 mIU/L) ; high levels of T4 (> 12.0 ng/dL) ;Triiodothyronine (T3) (> 180 ng/dL); FT4> 1.7 pg/ml; FT3 > 4.4 pg/ml', 'Thyroiditis': 'Thyroid function tests and thyroid antibody tests (such as anti-thyroid peroxidase antibodies, TPOAb); ultrasound shows thyroid size and shape may appear enlarged or morphologically altered; Changes in Echogenicity  showing areas of hypoechoicity, indicating tissue heterogeneity; ultrasound imaging may show increased or abnormal blood flow; ultrasound  find thyroid tissue may display structural heterogeneity', 'Thyroid Cancer': 'If FNA results suggest cancer or are suspicious for cancer, surgery, and further histopathological evaluation are usually necessary. Sufficient sample size is needed to make a diagnosis.', 'Thyroid Nodules': 'Thyroid ultrasound is the preferred method for evaluating thyroid nodules, which can help determine the nature of the nodules (likelihood of benign vs. malignant);\n\nEchogenicity：\n    Hypoechoic: The nodule appears darkerthan the surrounding thyroid tissue, which may suggest malignancy.\n    Isoechoic or Hyperechoic: The nodule appears similar to or brighter than surrounding tissue, usually indicating benignity.\n\nMargins:\n    Irregular margins: May indicate malignancy. \n    Smooth and well-defined margins: Typically indicate a benign nodule.\n\nShape:\n    Taller-than-wide: Nodules that are taller than they are wide (vertical to the skin) may be malignant.\n    Wider-than-tall: Nodules that are wider than they are tall (horizontal to the skin) are usually benign.\n\nMicrocalcifications:\n    Small calcium deposits within a nodule may suggest malignancy.\n\nBlood flow pattern:\n    Using Doppler ultrasound, increased abnormal blood flow may be associated with malignant nodules. \n\nFor suspicious nodules, fine-needle aspiration biopsy (FNA) is crucial for definitive diagnosis.'}"
Tuberculosis,"[': Close contact with someone with infectious TB、HIV infection', 'Areas with high TB prevalence (geographical risk factors);Immunosuppression (e.g., corticosteroid use, organ transplant)', 'Previous history of TB or inadequately treated TB', 'Socioeconomic factors: homelessness, incarceration、Substance abuse: tobacco smoking, drug use、Health care workers with exposure to TB.', 'etc.']","['Typical: Persistent cough for more than three weeks', 'coughing up blood', 'chest pain', 'fever', 'night sweats', 'weight loss', 'fatigue. Less typical: Shortness of breath', 'lymphadenopathy', 'anorexia', 'etc.']","['More specific: Evidence of weight loss', 'fever', 'signs of pleural effusion on physical examination Less specific: Lymphadenopathy', 'signs of comorbid conditions (e.g., HIV infection signs).', 'etc.']","{'LTBI': ""Interferon-gamma release test (IGRA): This is a blood test that can detect whether there is an immune response to Mycobacterium tuberculosis in the body. It is not affected by BCG vaccination, so it is especially suitable in areas where BCG has been vaccinated.    \nTuberculin test (TST): Inject a certain amount of purified protein derivative (PPD) into the skin and observe the reaction of the skin 48 to 72 hours later to determine whether the patient is infected with Mycobacterium tuberculosis. Results need to be judged based on the size of the induration, usually 5 mm or larger is considered a positive reaction, but this also depends on the individual's specific circumstances such as HIV infection or recent exposure to a case of tuberculosis."", 'Tuberculosis': 'Sputum smear microscopy: This is a rapid test that uses a microscope to examine sputum samples for tuberculosis bacteria. Although simple and low-cost, it is less sensitive. \nSputum culture: This is the gold standard for diagnosing tuberculosis. The sputum sample is cultured in a specific medium to see if Mycobacterium tuberculosis is growing. Culture can provide information about resistance but takes a long time (usually weeks to months). \nMolecular biology detection methods: such as PCR technology, which can quickly detect the genetic material of Mycobacterium tuberculosis with high sensitivity and specificity, and is especially suitable for patients with negative sputum smear. \nChest X-ray: Chest X-ray is a commonly used screening tool for patients suspected of having active pulmonary tuberculosis, which can reveal abnormalities in the lungs, such as patchy shadows, cavities, etc.'}"
Upper Gastrointestinal Bleeding,"['peptic ulcers', 'prolonged use of nonsteroidal anti-inflammatory drugs (NSAIDs)', 'Helicobacter pylori infection', 'esophageal varices', 'alcohol abuse', 'tumors', 'anticoagulant medications', 'stress ulcers', 'esophagitis or gastritis.', 'etc.']","['hematemesis (vomiting of red blood or coffee-grounds material)', 'melena (black, tarry stool), or hematochezia (passage of red or maroon material per rec-tum)', 'anemia', 'Hemorrhagic peripheral circulatory collapse(dizziness, palpitations, fatigue, fainting when standing up suddenly from a flat position, cold sensation of the limbs, increased heart rate, and low blood pressure);fever;zaotemia.', 'etc.']",[],"{'Upper Gastrointestinal Bleeding': 'Bleeding outside the digestive tract was excluded: Melena caused by eating and bleeding from the respiratory tract mouth, nose, and throat were excluded.\nGastroscopy: Bleeding is observed or has stopped'}"
